Name	POS
살코기	NNG
뼈	NNG
카레	NNG
설명	NNG
강황	NNG
오스틴	NNP
꺼	NNB+VCP
화이트	NNP
와인	NNG
궜다가	UNKNOWN
조리	NNG
경우	NNG
은은	XR
뛰어납니다	VA+EF
꼬리	NNG
헹궈야	VV+EC
안경	NNG
거품	NNG
사실	MAG
귀찮	VA
데리	VV
익혀서	VV+EC
절였	VV+EP
체반	NNP
받쳐	VV+EC
가끔	MAG
부르	VV
러	EC
우	VV
닭	NNG
아스	VV
삭힌	VV+ETM
진파	NNG
원하	VV
캡사이신	NNG
아주	MAG
담아낸다	VV+EF
비닐장갑	NNG
낀	VV+ETM
김자반	NNG
뿌리	VX
디오피	NNG
난민	NNG
치	XSN
별	NNG
따	VV
자	EC
청주	NNG
겸	NNB
댕	MAG
집	NNG
비빌	VV+ETM
잡곡	NNG
색색	NNG
뽀	MAG
수호	NNG
천	NR
검은깨	NNG
터지	VV
날개	NNG
끝	NNG
한쪽	NNG
발라	VV+EC
붙	VV
저며서	VV+EC
한단	VX+ETM
아닌가요	VCN+EC
들어가	VV
손잡이	NNG
즐거운	VA+ETM
식탐	NNG
조림	NNG
조린다	VV+EF
으셔서	EP+EC
께	JKB
재웠	VV+EP
비린내	NNG
봉	NNG
랩	NNG
적당량	NNG
펼친	VV+ETM
감싼다	VV+EF
중	NNB
특히	MAG
한국	NNP
선호	NNG
외	NNB
직접	MAG
자기	NP
딱딱	XR
해지므로	XSA+EC
얌생이	NNG
일어나	VV
얻	VV
엄마	NNG
쫄깃	XR
쯤	XSN
다이어트	NNG
음식	NNG
인데	VCP+EC
타	VV
목적	NNG
뜬	VV+ETM
이거	NP
복잡	XR
한데요	XSA+EC
아닌	VCN+ETM
스타	NNG
기에	EC
유나	NNG
부어	NNG
쑤	VV
썩	VV
걸리	VV
알려다	VV+EC+VX
센불	NNP
금방	MAG
으론	JKB+JX
걸쭉	XR
묽	VA
인사이드	NNG
가슴살	NNG
진하	VA
치킨	VV+ETM
스톡	NNG
닭살	NNG
가늘	VA
알갱이	NNG
첨가물	NNG
역할	NNG
한답니다	VV+EF
미인	NNG
끓일	VV+ETM
통마늘	NNG
누린	VV+ETM
사라지	VV
대구	NNP
어슷	XR
앞쪽	NNG
폭	NNG
좁	VA
뾰족	MAG
빛깔	NNG
갈색	NNG
배쪽	NNP
산산	XR
물물	NNG
우러나	VV
우려	VV+EC
끊이	VV
건더기	NNG
바지락	NNG
우려내	VV
시원	XR
끊	VV
경	NR
우려낸	VV+ETM
멸	NNG
흰	VA+ETM
예요	EC
츠	IC
걸죽해	VA+EC
사진	NNG
뚜	MAG
루	JKB
쓸	VV+ETM
떨어뜨려	VV+EC
삭	VV
맞춰	VV+EC
드세요	VV+EP+EC
줄리엣	NNP
크림	NNG
숫	NNG
운김	NNG
하늘하늘	MAG
바이올렛	NNP
돼지고기	NNG
쿠키	NNG
익혔	VV+EP
부드러운	VA+ETM
저며	VV+EC
훼리니아	UNKNOWN
각종	NNG
종류	NNG
쫀득	XR
생	XPN
땅콩	NNG
통째	NNG
새우	NNG
중국	NNP
전통	NNG
빠지	VV
서운	XR
추가	NNG
반찬	NNG
곁들일	VV+ETM
대부분	NNG
라임	NNG
나라	NNG
장어	NNG
베이스	NNG
대나무	NNG
바나나	NNG
어디	NP
려구요	EC
왠	MM
연	NNG
유익	XR
앞	NNG
실로	MAG
재래	NNG
시장	NNG
약재	NNG
곳	NNG
구입	NNG
상자	NNG
지요	EF
찰밥	NNG
한층	MAG
정성	NNG
헝그리	NNP
우먼	NNG
전자레인지	NNG
찜	NNG
기능	NNG
간단	XR
아무래도	MAG
제대로	MAG
전자	NNG
렌지	NNG
